post_body:,post_id:,user_id:,Label
probbali get tea all dai,kg_0_25623_94,colinc3,0
lol,kg_0_25623_95,colinc3,0
let them kill themself it not like there go to,kg_0_25623_96,melonman99,0
poopcak i saw you somewh,kg_0_25623_97,colinc3,0
i know did,kg_0_25623_98,colinc3,0
lol,kg_0_25623_99,poopcake,0
ii swear of it,kg_0_25623_100,colinc3,0
if thei kill themselv it onli help popul,kg_0_25623_101,chance10149,0
true,kg_0_25623_102,melonman99,0
it also reduc depress bastard,kg_0_25623_103,melonman99,0
everyon win,kg_0_25623_104,melonman99,0
lol,kg_0_25623_105,poopcake,0
chanc we could make fun of i am and hi dvd,kg_0_25623_106,LordShadow,0
make fun of who,kg_0_25623_107,melonman99,0
who i am,kg_0_25623_108,colinc3,0
i ambor 29,kg_0_25623_109,LordShadow,0
lol,kg_0_25623_110,colinc3,0
y bother,kg_0_25623_111,melonman99,0
he isnt talk,kg_0_25623_112,LordShadow,0
no sport,kg_0_25623_113,LordShadow,0
i am sat on a chair i can not do sport,kg_0_25623_114,melonman99,0
i mean no chaleng,kg_0_25623_115,LordShadow,0
how is it a challeng,kg_0_25623_116,melonman99,0
no fun to make funn of a gui who is afk,kg_0_25623_117,LordShadow,0
what the piont,kg_0_25623_118,melonman99,0
idk but it funni,kg_0_25623_119,poopcake,0
onli sad peopl make fun of other,kg_0_25623_120,melonman99,0
where jeremi,kg_0_25623_121,chance10149,0
noth,kg_0_25623_122,LordShadow,0
i do not know,kg_0_25623_123,LordShadow,0
it wa fun make fun of hi am,kg_0_25623_124,chance10149,1
problei fap to hi mom,kg_0_25623_125,LordShadow,1
he had no comebak,kg_0_25623_126,chance10149,1
lol,kg_0_25623_127,chance10149,0
lol,kg_0_25623_128,LordShadow,0
yea,kg_0_25623_129,LordShadow,0
lol,kg_0_25623_130,poopcake,0
wow i am surround by saddo,kg_0_25623_131,melonman99,0
mommyu peojpl on the internet ar be mean to me,kg_0_25623_132,colinc3,0
what ar you a bunch of chaz,kg_0_25623_133,melonman99,0
slap them,kg_0_25623_134,colinc3,0
mom i cant,kg_0_25623_135,colinc3,0
why,kg_0_25623_136,colinc3,0
it the internet there not real,kg_0_25623_137,colinc3,0
then let me have a talk with them,kg_0_25623_138,colinc3,0
calinc loveknight is your fan,kg_0_25623_139,LordShadow,0
listen htere you meani leav my son alon,kg_0_25623_140,colinc3,0
,kg_0_25623_141,colinc3,0
who loveknight,kg_0_25623_142,colinc3,0
look at your fan list on your profil,kg_0_25623_143,LordShadow,0
where the fan list,kg_0_25623_144,colinc3,0
hi,kg_0_25623_145,astala6,0
hi,kg_0_25623_146,LordShadow,0
omg lol,kg_0_25623_147,colinc3,0
you gd,kg_0_25623_148,astala6,0
i didnt know i had fan,kg_0_25623_149,colinc3,0
lolz,kg_0_25623_150,colinc3,0
scream,kg_0_25623_151,astala6,0
marri me colin,kg_0_25623_152,astala6,0
... . ... . ... ..,kg_0_25623_153,colinc3,0
ar you a gui,kg_0_25623_154,colinc3,0
or mybe she a girl,kg_0_25623_155,LordShadow,0
... . ... .. .,kg_0_25623_156,astala6,0
yea i do not know,kg_0_25623_157,colinc3,0
lol,kg_0_25623_158,astala6,0
gui,kg_0_25623_159,astala6,0
kasei,kg_0_25623_160,Zallart2,0
or mayb your against gai,kg_0_25623_161,melonman99,0
y,kg_0_25623_162,astala6,0
holi crap no,kg_0_25623_163,colinc3,0
no what,kg_0_25623_164,melonman99,0
i aint marrian a gui,kg_0_25623_165,colinc3,0
you know you love hi am col,kg_0_25623_166,LordShadow,0
... .. .you love hi am,kg_0_25623_167,colinc3,0
lol,kg_0_25623_168,astala6,0
it wa a jk man,kg_0_25623_169,astala6,0
omg,kg_0_25623_170,astala6,0
chanc let us make fun of colinc,kg_0_25623_171,LordShadow,0
ok that wa weird moment 1,kg_0_25623_172,colinc3,0
lol,kg_0_25623_173,astala6,0
that iv had on chat,kg_0_25623_174,colinc3,0
oh,kg_0_25623_175,LordShadow,0
why did you trick hi am,kg_0_25623_176,LordShadow,0
he wa alreadi for the honeymoon,kg_0_25623_177,LordShadow,0
lol,kg_0_25623_178,astala6,0
... . ... . ... . ... .. .,kg_0_25623_179,colinc3,0
i hope you didnt bui the ring . ..,kg_0_25623_180,astala6,0
he did,kg_0_25623_181,LordShadow,0
lordshadow you got lot of freind lol,kg_0_25623_182,colinc3,0
oh sh,kg_0_25623_183,astala6,0
it wa a 5 000 ring,kg_0_25623_184,LordShadow,0
yea i know i have a lot of friend,kg_0_25623_185,LordShadow,0
holi,kg_0_25623_186,astala6,0
and even more fan,kg_0_25623_187,LordShadow,0
xd,kg_0_25623_188,LordShadow,0
i am sorri i disapoint you astala 6,kg_0_25623_189,colinc3,0
lol njot realli,kg_0_25623_190,colinc3,0
i wa plan on cheat anywai,kg_0_25623_191,astala6,0
chanc ar you there,kg_0_25623_192,LordShadow,0
-,kg_0_25623_193,astala6,0
lol,kg_0_25623_194,LordShadow,0
she probabl ded,kg_0_25623_195,astala6,0
he,kg_0_25623_196,LordShadow,0
how about ... it,kg_0_25623_197,astala6,0
ehh,kg_0_25623_198,LordShadow,0
hi,kg_0_25623_199,TheForgedSpartan,0
hi,kg_0_25623_200,LordShadow,0
helo,kg_0_25623_201,colinc3,0
hi,kg_0_25623_202,astala6,0
more fan for you col . ..,kg_0_25623_203,astala6,0
groan,kg_0_25623_204,astala6,0
lol transform lol lol lolz lawl lawl lawlz,kg_0_25623_205,colinc3,0
llol,kg_0_25623_206,colinc3,0
lord let us talk on yahpoo,kg_0_25623_207,Zallart2,0
,kg_0_25623_208,LordShadow,0
no,kg_0_25623_209,LordShadow,0
yahoo,kg_0_25623_210,Zallart2,0
wow you peopl need to out more,kg_0_25623_211,melonman99,0
i do not want too,kg_0_25623_212,LordShadow,0
lol yapoo,kg_0_25623_213,colinc3,0
yapoooooooooooooooooo,kg_0_25623_214,colinc3,0
you poo,kg_0_25623_215,colinc3,0
funni,kg_0_25623_216,colinc3,0
i's rain,kg_0_25623_217,misobored,0
i luv yagproo more,kg_0_25623_218,astala6,0
i want to talk here,kg_0_25623_219,LordShadow,0
it is,kg_0_25623_220,misobored,0
raindrop keep fallin on ma head,kg_0_25623_221,colinc3,0
dum dum,kg_0_25623_222,astala6,0
is it rain men over there miso,kg_0_25623_223,LordShadow,0
just like the gui who feet ar too big for hi beat,kg_0_25623_224,colinc3,0
lol,kg_0_25623_225,astala6,0
bead,kg_0_25623_226,colinc3,0
rofl,kg_0_25623_227,astala6,0
rofl ma woffl,kg_0_25623_228,colinc3,0
lego my waffl,kg_0_25623_229,LordShadow,0
pwning the noob pwning hte noob,kg_0_25623_230,colinc3,0
... . ...,kg_0_25623_231,astala6,0
... .,kg_0_25623_232,misobored,0
nerd,kg_0_25623_233,melonman99,0
pwning pwning pwning pwning pwning the noob,kg_0_25623_234,colinc3,0
me,kg_0_25623_235,LordShadow,0
nerd,kg_0_25623_236,melonman99,0
nerd,kg_0_25623_237,LordShadow,0
you got t 0 ld,kg_0_25623_238,astala6,0
omg,kg_0_25623_239,astala6,0
lol lol hahahaha lo lol,kg_0_25623_240,colinc3,0
nop colinc,kg_0_25623_241,melonman99,0
do not get too rawdi gui,kg_0_25623_242,astala6,0
is a song on youtub you rtard,kg_0_25623_243,colinc3,0
i am retard am i,kg_0_25623_244,melonman99,0
at least i can spell,kg_0_25623_245,melonman99,0
blah,kg_0_25623_246,LordShadow,0
http www. youtub.com watch v mgxxhjib 4 dq,kg_0_25623_247,Zallart2,0
i am perfectli normal twitch,kg_0_25623_248,astala6,0
on satilit on satilit,kg_0_25623_249,Zallart2,0
oop,kg_0_25623_250,Zallart2,0
i am insan,kg_0_25623_251,melonman99,0
wrong websit,kg_0_25623_252,Zallart2,0
i't the joi of life,kg_0_25623_253,melonman99,0
hi 5 for the insa ppl,kg_0_25623_254,astala6,0
so how you do,kg_0_25623_255,misobored,0
fine,kg_0_25623_256,melonman99,0
what it to you,kg_0_25623_257,melonman99,0
appar i have 0 friend,kg_0_25623_258,astala6,0
yai,kg_0_25623_259,misobored,0
poor you,kg_0_25623_260,melonman99,0
lol,kg_0_25623_261,astala6,0
i am a loner . ..,kg_0_25623_262,astala6,0
kasei,kg_0_25623_263,Zallart2,0
do not catch aid whilst i am gone ...cya,kg_0_25623_264,astala6,0
o. o,kg_0_25623_265,misobored,0
cya 2,kg_0_25623_266,Zallart2,0
i am go to the store brb,kg_0_25623_267,LordShadow,0
see ya,kg_0_25623_268,misobored,0
huh wh. .what someon call me wow i am so out of it . ..,kg_0_25623_269,KaseyOwnsALL,0
kasei you ar aliv,kg_0_25623_270,LordShadow,0
nerd,kg_0_25623_271,melonman99,0
look at you melonman,kg_0_25623_272,colinc3,0
nerd,kg_0_25623_273,LordShadow,0
who ha a name call melonman,kg_0_25623_274,colinc3,0
nerd,kg_0_25623_275,misobored,0
and who sai nerd all he ti am,kg_0_25623_276,colinc3,0
nerd,kg_0_25623_277,colinc3,0
lol,kg_0_25623_278,colinc3,0
a nerd is just a myth,kg_0_25623_279,LordShadow,0
i know,kg_0_25623_280,colinc3,0
who ha a name call i am wanker and prode of it,kg_0_25623_281,melonman99,0
it so real but not real at the same ti am,kg_0_25623_282,colinc3,0
lol,kg_0_25623_283,LordShadow,0
hi wanker,kg_0_25623_284,colinc3,0
lol,kg_0_25623_285,colinc3,0
nerd ar real,kg_0_25623_286,melonman99,0
ye you ar on lol,kg_0_25623_287,colinc3,0
lol,kg_0_25623_288,LordShadow,0
if you did not know that then you ar on,kg_0_25623_289,melonman99,0
there proof,kg_0_25623_290,colinc3,0
omg i found proof,kg_0_25623_291,colinc3,0
lol,kg_0_25623_292,colinc3,0
ok now i am go to the store,kg_0_25623_293,LordShadow,0
brb,kg_0_25623_294,LordShadow,0
what do you do sit in a basement on a cpu,kg_0_25623_295,melonman99,0
i am go back to build ma citi in free rider 2,kg_0_25623_296,colinc3,0
all your life,kg_0_25623_297,melonman99,0
yai d,kg_0_25623_298,misobored,0
god save me there nerd all over my screen,kg_0_25623_299,melonman99,0
turn it off then save us all the troubl,kg_0_25623_300,poops166,0
nerd need to learn about the real world,kg_0_25623_301,melonman99,0
vice verca for non-nerd like me,kg_0_25623_302,poops166,0
it is rain outsid,kg_0_25623_303,misobored,0
then shut up,kg_0_25623_304,melonman99,0
plu i just finish fenc,kg_0_25623_305,misobored,0
intersest,kg_0_25623_306,melonman99,0
what did you do,kg_0_25623_307,misobored,0
hei all,kg_0_25623_308,bugflyson,0
hi,kg_0_25623_309,SgtDario,0
hi lord shadow,kg_0_25623_310,SgtDario,0
he's at the store,kg_0_25623_311,misobored,0
gosh darn cant kill eastern empir . ..,kg_0_25623_312,EnigmaticDreamer,0
in feudali am 2,kg_0_25623_313,Jeremy14,0
uhhuh,kg_0_25623_314,EnigmaticDreamer,0
got everyon but them,kg_0_25623_315,EnigmaticDreamer,0
try get a ton of peopl with the insta kill thing and takin all your armor off,kg_0_25623_316,misobored,0
i am ninja btw,kg_0_25623_317,EnigmaticDreamer,0
armour off,kg_0_25623_318,EnigmaticDreamer,0
us your execut attack,kg_0_25623_319,Jeremy14,0
yeh it onli hit onc everi minut,kg_0_25623_320,EnigmaticDreamer,0
oh,kg_0_25623_321,Jeremy14,0
i mean to sai the last town,kg_0_25623_322,EnigmaticDreamer,0
the capit,kg_0_25623_323,EnigmaticDreamer,0
the dameg done by the chinea charect is base by armor,kg_0_25623_324,misobored,0
thei keep hit me with the instant kill thing,kg_0_25623_325,EnigmaticDreamer,0
just bui ton and ton of alli,kg_0_25623_326,Jeremy14,0
hi,kg_0_25623_327,mock03,0
lol been there done that,kg_0_25623_328,EnigmaticDreamer,0
hiiiiiiiiiii,kg_0_25623_329,mock03,0
idk then,kg_0_25623_330,Jeremy14,0
need a certain kind i guess,kg_0_25623_331,EnigmaticDreamer,0
hi mock,kg_0_25623_332,EnigmaticDreamer,0
it work for me,kg_0_25623_333,misobored,0
hi dude,kg_0_25623_334,mock03,0
yeh so take my armor off and attack the capit,kg_0_25623_335,EnigmaticDreamer,0
sound silli but ill try it,kg_0_25623_336,EnigmaticDreamer,0
i just let my alli handl the execut gui,kg_0_25623_337,Jeremy14,0
well it would be nice if thei would all live to the inner citi where thei all ar and that the ninja do not come after me,kg_0_25623_338,EnigmaticDreamer,0
jeremi jeremi jeremi,kg_0_25623_339,colinc3,0
what,kg_0_25623_340,Jeremy14,0
noth,kg_0_25623_341,colinc3,0
lol,kg_0_25623_342,colinc3,0
hi,kg_0_25623_343,mock03,0
that is awesom,kg_0_25623_344,Jeremy14,0
hi,kg_0_25623_345,mock03,0
i know isnt it,kg_0_25623_346,colinc3,0
lol,kg_0_25623_347,colinc3,0
hi,kg_0_25623_348,mock03,0
ding idea ... should i mayb start again as a differ charact and take them on with my new game,kg_0_25623_349,EnigmaticDreamer,0
hhhhhhhhhhhhhiiiiiiiiiiiiiiiiii,kg_0_25623_350,mock03,0
,kg_0_25623_351,colinc3,0
hi,kg_0_25623_352,mock03,0
colinc as in creed lol,kg_0_25623_353,EnigmaticDreamer,0
hi,kg_0_25623_354,mock03,0
what about me,kg_0_25623_355,colinc3,0
dw it from harri potter,kg_0_25623_356,EnigmaticDreamer,0
hi,kg_0_25623_357,mock03,0
my name in zelda the twilight princess lol,kg_0_25623_358,colinc3,0
that kid that make you the fish pole,kg_0_25623_359,colinc3,0
wow go fuk urself,kg_0_25623_360,chance10149,1
why,kg_0_25623_361,colinc3,0
cuz that wut princess do lol,kg_0_25623_362,chance10149,0
it fun,kg_0_25623_363,Jeremy14,0
why so angri togai,kg_0_25623_364,misobored,0
i would but i do not have your mom asort of toi,kg_0_25623_365,colinc3,0
lolz,kg_0_25623_366,colinc3,0
todai,kg_0_25623_367,misobored,0
um who's plai fizzi sword and sandel 3,kg_0_25623_368,landon379,0
your mom lolz,kg_0_25623_369,colinc3,0
back,kg_0_25623_370,LordShadow,0
that so old,kg_0_25623_371,landon379,0
sigh,kg_0_25623_372,misobored,0
,kg_0_25623_373,LordShadow,0
morn folk,kg_0_25623_374,Nyteflame,0
morn,kg_0_25623_375,LordShadow,0
how is everyon todai,kg_0_25623_376,Nyteflame,0
is it 10 43 nyte,kg_0_25623_377,LordShadow,0
it is here,kg_0_25623_378,Nyteflame,0
here to,kg_0_25623_379,misobored,0
then you live in the west coaset too,kg_0_25623_380,LordShadow,0
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,kg_0_25623_381,mock03,0
coast,kg_0_25623_382,LordShadow,0
still morn ...do not worri i do not sleep that late. iv been up plai some game wash some dish and got some muffin in the oven .,kg_0_25623_383,Nyteflame,0
ok,kg_0_25623_384,LordShadow,0
cool,kg_0_25623_385,LordShadow,0
hi,kg_0_25623_386,mock03,0
speak of wich ti am to check them. brb,kg_0_25623_387,Nyteflame,0
hi,kg_0_25623_388,mock03,0
hi,kg_0_25623_389,mock03,0
hi,kg_0_25623_390,mock03,0
hi,kg_0_25623_391,mock03,0
back,kg_0_25623_392,Nyteflame,0
thei done,kg_0_25623_393,LordShadow,0
not quit need a minut or two .,kg_0_25623_394,Nyteflame,0
what about me,kg_0_25623_395,mock03,0
i am bake for a get togeth later. a friend of mine celebr thanksgiv a dai earli,kg_0_25623_396,Nyteflame,0
ok,kg_0_25623_397,LordShadow,0
cool,kg_0_25623_398,LordShadow,0
nice,kg_0_25623_399,misobored,0
damn how long ha it been shoot about 2 hour ... not enough. when did i log in anyon know the esti amat ti am,kg_0_25623_400,KaseyOwnsALL,0
i loge in now,kg_0_25623_401,SgtDario,0
no,kg_0_25623_402,LordShadow,0
kasei ar you ok,kg_0_25623_403,LordShadow,0
who wanna try my map on free rider 2,kg_0_25623_404,colinc3,0
it awesom and huge,kg_0_25623_405,colinc3,0
- 18 1 i 18 1 i jm 3 o 17 m 4 m 1 q 4 4 m 24 o 4 m 24 o 4 c 25 c 4 c 25 c 42 260 42 260 3 o 26 k 3 o 26 k 3 e 278 3 e 278 34 27 s 34 27 s 2 q 28 q 2 q - 3 o - 26 - 3 o 1 i - 18 1 i k 0 0 17 m 18 1 be - 5 k 1 ji - j 2 2 j 4 - 13 you 3 ai - mg 2 ri - oc 2 c 8 - mq 1 uq - ka 1 kg - de 198 - 1 s 366 1 i 3 g 6 1 s 4 ds 4,kg_0_25623_406,colinc3,0
code,kg_0_25623_407,colinc3,0
for it,kg_0_25623_408,colinc3,0
ok i check it work,kg_0_25623_409,colinc3,0
the map your suppo to get to the surfac,kg_0_25623_410,colinc3,0
get out of the tunnel basicli,kg_0_25623_411,colinc3,0
i am go to youtub lol,kg_0_25623_412,colinc3,0
am i okai do i sound okai i did someth nearli two hour ago that i should be regret but for some reason ... i am just let it go .,kg_0_25623_413,KaseyOwnsALL,0
bye ever bodi,kg_0_25623_414,SgtDario,0
what did you do,kg_0_25623_415,pheonix_fire,0
i am curiou too but someth tell me that he she sorri i do not know is not comfort sai . ..,kg_0_25623_416,Nyteflame,0
hei lord,kg_0_25623_417,1111jony11,0
hei joni,kg_0_25623_418,LordShadow,0
yea nyte i know what happend with kasei,kg_0_25623_419,LordShadow,0
it a sad and long stori,kg_0_25623_420,LordShadow,0
i ... took a whole bottl of darvaset and wash it down with beer. i know i did not spell that medicin right but it a pain killer and i basicli over-dose .,kg_0_25623_421,KaseyOwnsALL,0
i do not think she would want me to talk about it,kg_0_25623_422,LordShadow,0
ok flame i see what ur sayin but first step to except what you have done a shear with other peopl ... .. .well that how i think of it,kg_0_25623_423,pheonix_fire,0
ah,kg_0_25623_424,pheonix_fire,0
wow kasei you realli tri to kill yourself,kg_0_25623_425,LordShadow,0
and you didnt die,kg_0_25623_426,LordShadow,0
the old overdo,kg_0_25623_427,pheonix_fire,0
oh,kg_0_25623_428,pheonix_fire,0
it wa intend,kg_0_25623_429,pheonix_fire,0
that a sign that you shouldnt kill yourself,kg_0_25623_430,LordShadow,0
i think the gift of life is the biggest sign that you shouldent kill urself,kg_0_25623_431,pheonix_fire,0
is look up davocet on drug. com,kg_0_25623_432,Nyteflame,0
i think everon is aliv for a reason,kg_0_25623_433,pheonix_fire,0
thei make a big part,kg_0_25623_434,pheonix_fire,0
yea,kg_0_25623_435,LordShadow,0
i amgagin if ab linkin kill hi amself,kg_0_25623_436,pheonix_fire,0
ed,kg_0_25623_437,pheonix_fire,0
overdo symptom mai includ extrem drowsi pinpoint pupil nausea vomit dark urin jaundic yellow of the skin or ey confu faint weak pul seizur convul coma blue lip shallow breath or no breath .,kg_0_25623_438,Nyteflame,0
...,kg_0_25623_439,pheonix_fire,0
i ambord 29 you here,kg_0_25623_440,pheonix_fire,0
... well you know what i aint done yet it onli been two hour and i still have it in me .,kg_0_25623_441,KaseyOwnsALL,0
plz do not die . .,kg_0_25623_442,pheonix_fire,0
i amagen if hitler kill hi amself when he wa 12,kg_0_25623_443,misobored,0
we like you,kg_0_25623_444,pheonix_fire,0
yea,kg_0_25623_445,pheonix_fire,0
massiv chang in histori,kg_0_25623_446,pheonix_fire,0
a good on,kg_0_25623_447,KaseyOwnsALL,0
well,kg_0_25623_448,pheonix_fire,0
you do not know that,kg_0_25623_449,pheonix_fire,0
who would be in hitler place,kg_0_25623_450,pheonix_fire,0
me,kg_0_25623_451,bullshitfrogV2,0
fu,kg_0_25623_452,KaseyOwnsALL,0
hi,kg_0_25623_453,bullshitfrogV2,0
hmm ...i read a sci-fi stori about that veri idea onc,kg_0_25623_454,Nyteflame,0
and i amagin if the dude or gal in hitler place won,kg_0_25623_455,pheonix_fire,0
hi gui,kg_0_25623_456,puppies95,0
wave,kg_0_25623_457,Nyteflame,0
ok sorri ill shut up kaseyown fu,kg_0_25623_458,pheonix_fire,0
hi puppi,kg_0_25623_459,LordShadow,0
hi,kg_0_25623_460,puppies95,0
ahhh,kg_0_25623_461,opaz,0
frustrat,kg_0_25623_462,opaz,0
hello world,kg_0_25623_463,TehJester,0
hi,kg_0_25623_464,LordShadow,0
hi yall,kg_0_25623_465,kilokie,0
is funnnygui on,kg_0_25623_466,kilokie,0
damn i am off it so bad. ill just take some more mayb ill drink more too .,kg_0_25623_467,KaseyOwnsALL,0
and smoke more do not forget,kg_0_25623_468,TehJester,0
sound good,kg_0_25623_469,KaseyOwnsALL,0
ki kacei,kg_0_25623_470,kilokie,0
you sound perti todai,kg_0_25623_471,kilokie,0
id i scare you all awai again,kg_0_25623_472,kilokie,0
ksei i want to sai someth ...and then ill be quiet no mater what is go on when you take yourself out of the pictur you ar let those who have stack the odd against you win .,kg_0_25623_473,Nyteflame,0
wtf doe that mean,kg_0_25623_474,kilokie,0
lord told you what wa go on didnt he,kg_0_25623_475,KaseyOwnsALL,0
...,kg_0_25623_476,TehJester,0
weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,kg_0_25623_477,kokoeychicken,0
no i onli know what you said,kg_0_25623_478,Nyteflame,0
it mean if you do some thing give up you let everi on el win .,kg_0_25623_479,TehJester,0
chicken,kg_0_25623_480,kokoeychicken,0
what gioin on i am scare,kg_0_25623_481,kilokie,0
let what ever is go on in you ar life win . .,kg_0_25623_482,TehJester,0
,kg_0_25623_483,LordShadow,0
what did i sai kasei,kg_0_25623_484,LordShadow,0
well the thing is,kg_0_25623_485,KaseyOwnsALL,0
i love you gui,kg_0_25623_486,kilokie,0
jk,kg_0_25623_487,kilokie,0
i hate you all,kg_0_25623_488,kilokie,1
my daughter got taken awai from me i lost my job my dog di . ..,kg_0_25623_489,KaseyOwnsALL,0
...,kg_0_25623_490,KaseyOwnsALL,0
that suck big hairi on,kg_0_25623_491,kilokie,0
and my daughter is onli four year old and she got put with her father a drug adict .,kg_0_25623_492,KaseyOwnsALL,0
,kg_0_25623_493,KaseyOwnsALL,0
shit,kg_0_25623_494,KaseyOwnsALL,0
lol,kg_0_25623_495,f1av0rflave,0
i hate my in life,kg_0_25623_496,KaseyOwnsALL,0
take hi am to court get custadi . .,kg_0_25623_497,TehJester,0
not funni flavor,kg_0_25623_498,LordShadow,0
akward silen . ..,kg_0_25623_499,kilokie,0
yeah,kg_0_25623_500,f1av0rflave,0
hi bore,kg_0_25623_501,puppies95,0
honei you can fight for your daughter ...if you give in now she stuck with her father ...i know that is not what you want. a gui at my church is go through someth si amilar hi wife is the addict though .,kg_0_25623_502,Nyteflame,0
anna said come over to our hou,kg_0_25623_503,puppies95,0
bore,kg_0_25623_504,puppies95,0
hi bore,kg_0_25623_505,kilokie,0
... i am bore too,kg_0_25623_506,opaz,0
thank give is tomarrow,kg_0_25623_507,puppies95,0
ca not wait,kg_0_25623_508,misobored,0
as far as thing go your first step will be to get a new job then sue for custordi. when your daughter's back get a new puppi not as a replac that is not what i mean and you can rai them togeth. it is go to be tough but . ..,kg_0_25623_509,Nyteflame,0
no no no there a gui name i ambor,kg_0_25623_510,kilokie,0
i ambor 29,kg_0_25623_511,puppies95,0
he is my friend,kg_0_25623_512,puppies95,0
kasei zall know how you feel,kg_0_25623_513,LordShadow,0
we talk,kg_0_25623_514,kilokie,0
